homeaway,line,hit,pitchrightleft,cat,last10,last5,log,oppteam,overunder,batterID,whip,OPSlast5,temperature,wind,pitcherID,pitcherfip,pitcherFBPercent,avgvsFB,avgvsOFF,avgvsMPHFB,avg_spin_ff,avg_spin_off
1,1.5,0,0,tb,9,3,0.4444444444444444,Milwaukee Brewers,7.5,31261,1.32,0.716,58.9,10.3,33950,4.10322641509434,0.716,0.275,0.237,0.247,0.273,0.2
1,0.5,0,0,r,2,0,0.1875,Milwaukee Brewers,7.5,41174,1.32,0.659,58.9,10.3,33950,4.10322641509434,0.716,0.217,0.207,0.218,0.238,0.174
1,0.5,0,0,tb,7,2,0.4375,Milwaukee Brewers,7.5,41174,1.32,0.659,58.9,10.3,33950,4.10322641509434,0.716,0.217,0.207,0.218,0.238,0.174
1,0.5,0,0,r,2,0,0.3333333333333333,Seattle Mariners,10.0,37340,1.29,0.549,52.1,4.7,4297897,5.038683168316831,0.616,0.281,0.243,0.262,0.296,0.5
1,1.5,0,0,tb,4,0,0.2222222222222222,Seattle Mariners,10.0,37340,1.29,0.549,52.1,4.7,4297897,5.038683168316831,0.616,0.281,0.243,0.262,0.296,0.5
0,0.5,0,0,r,2,1,0.2,Cincinnati Reds,9.0,4739755,1.47,0.478,49.9,8.1,33249,5.353596858638744,0.685,0.247,0.257,0.248,0.189,0.304
0,0.5,1,0,tb,6,3,0.3333333333333333,Cincinnati Reds,9.0,4739755,1.47,0.478,49.9,8.1,33249,5.353596858638744,0.685,0.247,0.257,0.248,0.189,0.304
1,0.5,0,0,r,5,3,0.4117647058823529,Texas Rangers,9.5,32530,1.27,0.923,58.9,9.2,33252,4.570636363636363,0.563,0.233,0.213,0.221,0.212,0.17
1,1.5,0,0,tb,8,2,0.4117647058823529,Texas Rangers,9.5,32530,1.27,0.923,58.9,9.2,33252,4.570636363636363,0.563,0.233,0.213,0.221,0.212,0.17
1,0.5,0,0,r,6,2,0.5,Tampa Bay Rays,8.0,40835,1.25,0.869,53,8.1,40934,4.309941176470588,0.649,0.232,0.242,0.236,0.175,0.125
1,0.5,1,0,tb,14,4,0.7142857142857143,Tampa Bay Rays,8.0,40835,1.25,0.869,53,8.1,40934,4.309941176470588,0.649,0.232,0.242,0.236,0.175,0.125
0,0.5,0,0,r,4,2,0.35294117647058826,Minnesota Twins,8.0,41223,2.22,0.401,56.9,13.9,4917888,7.83662962962963,0.729,0.226,0.243,0.247,0.148,0.385
0,0.5,0,0,tb,6,2,0.17647058823529413,Minnesota Twins,8.0,41223,2.22,0.401,56.9,13.9,4917888,7.83662962962963,0.729,0.226,0.243,0.247,0.148,0.385
1,0.5,0,0,r,2,1,0.23529411764705882,Milwaukee Brewers,7.5,31027,1.32,0.509,58.9,10.3,33950,4.10322641509434,0.716,0.244,0.209,0.219,0.219,0.333
1,0.5,1,0,tb,7,2,0.47058823529411764,Milwaukee Brewers,7.5,31027,1.32,0.509,58.9,10.3,33950,4.10322641509434,0.716,0.244,0.209,0.219,0.219,0.333
0,0.5,0,0,r,7,2,0.6111111111111112,Los Angeles Dodgers,9.0,37498,0.95,0.881,74.9,2.2,33190,2.9637567567567564,0.51,0.263,0.204,0.208,0.25,0.158
0,0.5,1,0,tb,13,2,0.4444444444444444,Los Angeles Dodgers,9.0,37498,0.95,0.881,74.9,2.2,33190,2.9637567567567564,0.51,0.263,0.204,0.208,0.25,0.158
1,0.5,0,0,r,4,2,0.4166666666666667,Oakland Athletics,7.5,35142,1.6,0.617,45.9,11.4,32789,3.4197659574468084,0.536,0.271,0.203,0.219,0.38,0.1
1,0.5,0,0,tb,9,2,0.4166666666666667,Oakland Athletics,7.5,35142,1.6,0.617,45.9,11.4,32789,3.4197659574468084,0.536,0.271,0.203,0.219,0.38,0.1
0,0.5,0,0,r,4,2,0.3333333333333333,New York Yankees,8.0,36488,1.3,0.508,53,8.1,40626,2.9986666666666664,0.506,0.19,0.224,0.203,0.185,0.286
0,0.5,0,0,tb,8,2,0.4444444444444444,New York Yankees,8.0,36488,1.3,0.508,53,8.1,40626,2.9986666666666664,0.506,0.19,0.224,0.203,0.185,0.286
0,0.5,0,0,r,3,1,0.375,St. Louis Cardinals,7.5,35291,0.88,0.769,58.9,10.3,32082,0.6923801169590642,0.575,0.234,0.213,0.201,0.333,0.256
0,0.5,0,0,tb,10,2,0.5625,St. Louis Cardinals,7.5,35291,0.88,0.769,58.9,10.3,32082,0.6923801169590642,0.575,0.234,0.213,0.201,0.333,0.256
0,0.5,1,0,r,6,4,0.5384615384615384,New York Yankees,8.0,41359,1.3,0.825,53,8.1,40626,2.9986666666666664,0.506,0.231,0.216,0.247,0.125,0.231
0,0.5,1,0,tb,12,3,0.6153846153846154,New York Yankees,8.0,41359,1.3,0.825,53,8.1,40626,2.9986666666666664,0.506,0.231,0.216,0.247,0.125,0.231
1,0.5,0,0,r,2,2,0.25,Houston Astros,9.0,40655,2.56,0.85,54.9,4.7,4717803,5.590720930232559,0.688,0.247,0.219,0.218,0.206,0.222
1,0.5,1,0,tb,8,2,0.5833333333333334,Houston Astros,9.0,40655,2.56,0.85,54.9,4.7,4717803,5.590720930232559,0.688,0.247,0.219,0.218,0.206,0.222
0,0.5,1,0,r,5,3,0.47368421052631576,Minnesota Twins,8.0,42179,2.22,0.814,56.9,13.9,4917888,7.83662962962963,0.729,0.284,0.249,0.274,0.33,0.24
0,1.5,0,0,tb,9,1,0.3684210526315789,Minnesota Twins,8.0,42179,2.22,0.814,56.9,13.9,4917888,7.83662962962963,0.729,0.284,0.249,0.274,0.33,0.24
1,0.5,1,0,r,7,4,0.5882352941176471,Texas Rangers,9.5,36185,1.27,0.778,58.9,9.2,33252,4.570636363636363,0.563,0.267,0.313,0.313,0.226,0.24
1,1.5,1,0,tb,13,2,0.5294117647058824,Texas Rangers,9.5,36185,1.27,0.778,58.9,9.2,33252,4.570636363636363,0.563,0.267,0.313,0.313,0.226,0.24
