homeaway,line,hit,rightleft,opprank,cat,last5,oppteam,pitcherID,righthitters,inningspitchedlast3,temperature,wind,fip,overunder
0,2.5,0,0,22,era,1,Detroit Tigers,32081,3,5.166666666666667,75.8,9.8,4.212461538461539,8.0
0,5.5,0,0,25,hits,4,Detroit Tigers,32081,3,5.166666666666667,75.8,9.8,4.212461538461539,8.0
1,15.5,0,0,17,outs,4,Atlanta Braves,40973,8,4.733333333333333,81.1,6.9,3.8111681415929204,8.0
1,2.5,0,0,17,era,1,Atlanta Braves,40973,8,4.733333333333333,81.1,6.9,3.8111681415929204,8.0
1,4.5,0,0,17,hits,3,Atlanta Braves,40973,8,4.733333333333333,81.1,6.9,3.8111681415929204,8.0
0,4.5,0,1,13,hits,2,St. Louis Cardinals,4417203,7,4.766666666666667,89,4.7,6.454,9.5
1,15.5,0,0,21,outs,2,Toronto Blue Jays,33173,5,5.333333333333333,81.1,6.9,5.286382934443289,9.5
1,2.5,0,0,21,era,3,Toronto Blue Jays,33173,5,5.333333333333333,81.1,6.9,5.286382934443289,9.5
1,5.5,0,0,22,hits,1,Toronto Blue Jays,33173,5,5.333333333333333,81.1,6.9,5.286382934443289,9.5
0,17.5,1,0,23,outs,4,Pittsburgh Pirates,41221,7,5.066666666666666,79.1,9.2,3.2982236024844718,7.0
0,2.5,1,0,23,era,1,Pittsburgh Pirates,41221,7,5.066666666666666,79.1,9.2,3.2982236024844718,7.0
0,5.5,0,0,20,hits,1,Pittsburgh Pirates,41221,7,5.066666666666666,79.1,9.2,3.2982236024844718,7.0
0,16.5,1,0,16,outs,3,Colorado Rockies,4020158,5,4.433333333333334,92,6.9,4.050176683562635,11.5
0,3.5,1,0,16,era,2,Colorado Rockies,4020158,5,4.433333333333334,92,6.9,4.050176683562635,11.5
0,5.5,1,0,14,hits,1,Colorado Rockies,4020158,5,4.433333333333334,92,6.9,4.050176683562635,11.5
0,15.5,1,0,14,outs,1,Cincinnati Reds,33252,6,4.433333333333334,85,8.1,5.129593509820666,9.5
0,2.5,0,0,14,era,2,Cincinnati Reds,33252,6,4.433333333333334,85,8.1,5.129593509820666,9.5
0,5.5,0,0,28,hits,2,Cincinnati Reds,33252,6,4.433333333333334,85,8.1,5.129593509820666,9.5
1,16.5,1,0,5,outs,2,Los Angeles Dodgers,32116,3,4.666666666666667,89,4.7,4.210231884057971,9.5
1,2.5,1,0,5,era,4,Los Angeles Dodgers,32116,3,4.666666666666667,89,4.7,4.210231884057971,9.5
1,6.5,1,0,7,hits,5,Los Angeles Dodgers,32116,3,4.666666666666667,89,4.7,4.210231884057971,9.5
1,17.5,1,0,10,outs,1,Kansas City Royals,33372,5,4.333333333333333,85,8.1,3.0502886597938144,9.5
1,2.5,1,0,10,era,0,Kansas City Royals,33372,5,4.333333333333333,85,8.1,3.0502886597938144,9.5
1,5.5,1,0,12,hits,0,Kansas City Royals,33372,5,4.333333333333333,85,8.1,3.0502886597938144,9.5
0,15.5,0,1,6,outs,3,Philadelphia Phillies,31313,6,4.333333333333333,83.9,6.9,4.5803656550703185,9.0
0,3.5,0,1,6,era,3,Philadelphia Phillies,31313,6,4.333333333333333,83.9,6.9,4.5803656550703185,9.0
0,6.5,1,1,6,hits,3,Philadelphia Phillies,31313,6,4.333333333333333,83.9,6.9,4.5803656550703185,9.0
1,1.5,1,0,27,era,3,Seattle Mariners,4719507,5,5.7,79.1,9.2,2.9188979591836732,7.0
1,17.5,1,0,27,outs,3,Seattle Mariners,4719507,5,5.7,79.1,9.2,2.9188979591836732,7.0
1,4.5,0,0,30,hits,3,Seattle Mariners,4719507,5,5.7,79.1,9.2,2.9188979591836732,7.0
0,15.5,0,0,9,outs,0,New York Mets,5116856,6,4.3999999999999995,78,9.2,6.738102564102564,8.5
0,2.5,1,0,9,era,3,New York Mets,5116856,6,4.3999999999999995,78,9.2,6.738102564102564,8.5
0,5.5,0,0,9,hits,3,New York Mets,5116856,6,4.3999999999999995,78,9.2,6.738102564102564,8.5
1,1.5,0,0,1,era,2,Arizona Diamondbacks,4208281,5,5.066666666666666,88.1,13.9,3.7488373101952277,7.5
1,3.5,1,0,5,hits,2,Arizona Diamondbacks,4208281,5,5.066666666666666,88.1,13.9,3.7488373101952277,7.5
0,17.5,1,0,28,outs,3,Tampa Bay Rays,4916269,6,6.366666666666667,88.1,13.9,3.6256129032258064,7.5
0,2.5,0,0,28,era,2,Tampa Bay Rays,4916269,6,6.366666666666667,88.1,13.9,3.6256129032258064,7.5
0,5.5,0,0,27,hits,2,Tampa Bay Rays,4916269,6,6.366666666666667,88.1,13.9,3.6256129032258064,7.5
1,1.5,1,1,29,era,3,Miami Marlins,33244,7,5.666666666666667,78,9.2,3.8278461538461537,8.5
1,17.5,1,1,29,outs,2,Miami Marlins,33244,7,5.666666666666667,78,9.2,3.8278461538461537,8.5
1,5.5,0,1,19,hits,2,Miami Marlins,33244,7,5.666666666666667,78,9.2,3.8278461538461537,8.5
0,15.5,0,0,18,outs,2,Texas Rangers,41383,5,4.7,99.9,8.1,3.9209654528478057,8.5
0,2.5,0,0,18,era,2,Texas Rangers,41383,5,4.7,99.9,8.1,3.9209654528478057,8.5
0,5.5,0,0,18,hits,3,Texas Rangers,41383,5,4.7,99.9,8.1,3.9209654528478057,8.5
1,1.5,1,0,30,era,3,Chicago White Sox,4726080,3,6.333333333333333,94,9.2,4.3264500907441015,7.5
1,17.5,0,0,30,outs,5,Chicago White Sox,4726080,3,6.333333333333333,94,9.2,4.3264500907441015,7.5
1,4.5,1,0,29,hits,2,Chicago White Sox,4726080,3,6.333333333333333,94,9.2,4.3264500907441015,7.5
0,1.5,1,0,26,era,3,Los Angeles Angels,4424862,7,6.666666666666667,81.1,6.9,3.400063829787234,8.0
0,17.5,0,0,26,outs,5,Los Angeles Angels,4424862,7,6.666666666666667,81.1,6.9,3.400063829787234,8.0
0,4.5,0,0,24,hits,3,Los Angeles Angels,4424862,7,6.666666666666667,81.1,6.9,3.400063829787234,8.0
0,2.5,1,0,20,era,1,Chicago Cubs,4411979,6,3.1999999999999997,81.1,6.9,4.392181818181818,9.5
0,4.5,0,0,23,hits,1,Chicago Cubs,4411979,6,3.1999999999999997,81.1,6.9,4.392181818181818,9.5
1,2.5,0,0,5,era,3,Los Angeles Dodgers,4109034,5,4.8,87,10.3,3.8926969696969698,9.0
1,5.5,0,0,7,hits,2,Los Angeles Dodgers,4109034,5,4.8,87,10.3,3.8926969696969698,9.0
1,2.5,0,1,27,era,2,Seattle Mariners,4705677,9,3.6999999999999997,83,10.3,4.218751633986928,8.5
1,5.5,1,1,30,hits,2,Seattle Mariners,4705677,9,3.6999999999999997,83,10.3,4.218751633986928,8.5
0,2.5,0,0,3,era,3,Baltimore Orioles,4720856,4,5.433333333333333,80,10.3,4.569103896103896,9.5
0,5.5,0,0,4,hits,1,Baltimore Orioles,4720856,4,5.433333333333333,80,10.3,4.569103896103896,9.5
0,2.5,1,1,23,era,1,Detroit Tigers,33696,6,5.466666666666666,73.3,13.4,4.4770238450074515,9.0
0,4.5,1,1,25,hits,1,Detroit Tigers,33696,6,5.466666666666666,73.3,13.4,4.4770238450074515,9.0
0,2.5,1,0,20,era,4,Chicago Cubs,33148,5,5.0,76,11.4,4.144223021582734,8.0
0,5.5,0,0,23,hits,3,Chicago Cubs,33148,5,5.0,76,11.4,4.144223021582734,8.0
0,1.5,1,1,26,era,3,Los Angeles Angels,30948,7,5.466666666666666,79.1,6.9,2.0603038516405134,8.0
0,18.5,0,1,26,outs,2,Los Angeles Angels,30948,7,5.466666666666666,79.1,6.9,2.0603038516405134,8.0
0,4.5,1,1,24,hits,2,Los Angeles Angels,30948,7,5.466666666666666,79.1,6.9,2.0603038516405134,8.0
1,2.5,0,1,19,era,3,Washington Nationals,42359,6,5.133333333333333,79.1,12.8,2.8232498215560313,9.0
1,5.5,0,1,17,hits,4,Washington Nationals,42359,6,5.133333333333333,79.1,12.8,2.8232498215560313,9.0
0,14.5,1,0,18,outs,3,Texas Rangers,5124114,5,4.366666666666666,101.9,6.9,4.5084037267080745,8.5
0,2.5,0,0,18,era,1,Texas Rangers,5124114,5,4.366666666666666,101.9,6.9,4.5084037267080745,8.5
0,4.5,1,0,18,hits,1,Texas Rangers,5124114,5,4.366666666666666,101.9,6.9,4.5084037267080745,8.5
0,17.5,0,0,17,outs,2,Colorado Rockies,34943,4,3.733333333333333,94,6.9,3.206760972316003,10.5
0,2.5,1,0,17,era,0,Colorado Rockies,34943,4,3.733333333333333,94,6.9,3.206760972316003,10.5
0,4.5,0,0,14,hits,1,Colorado Rockies,34943,4,3.733333333333333,94,6.9,3.206760972316003,10.5
1,17.5,1,0,13,outs,3,Cleveland Guardians,39825,5,5.666666666666667,76.9,9.2,4.186858497447119,7.5
1,2.5,0,0,13,era,3,Cleveland Guardians,39825,5,5.666666666666667,76.9,9.2,4.186858497447119,7.5
1,4.5,0,0,22,hits,3,Cleveland Guardians,39825,5,5.666666666666667,76.9,9.2,4.186858497447119,7.5
1,17.5,0,0,15,outs,2,Atlanta Braves,41065,8,6.0,79.1,6.9,5.293300751879699,8.0
1,2.5,1,0,15,era,3,Atlanta Braves,41065,8,6.0,79.1,6.9,5.293300751879699,8.0
1,5.5,1,0,16,hits,3,Atlanta Braves,41065,8,6.0,79.1,6.9,5.293300751879699,8.0
0,15.5,0,0,25,outs,1,Oakland Athletics,5197166,7,3.6999999999999997,72.9,11.4,5.070810218978102,8.0
0,2.5,0,0,25,era,2,Oakland Athletics,5197166,7,3.6999999999999997,72.9,11.4,5.070810218978102,8.0
0,4.5,0,0,27,hits,2,Oakland Athletics,5197166,7,3.6999999999999997,72.9,11.4,5.070810218978102,8.0
1,1.5,0,0,30,era,2,Chicago White Sox,4717803,3,5.433333333333334,97.1,9.2,3.69499850857569,8.5
1,18.5,1,0,30,outs,0,Chicago White Sox,4717803,3,5.433333333333334,97.1,9.2,3.69499850857569,8.5
1,4.5,0,0,29,hits,3,Chicago White Sox,4717803,3,5.433333333333334,97.1,9.2,3.69499850857569,8.5
1,16.5,0,1,1,outs,0,Arizona Diamondbacks,35397,8,4.3999999999999995,90.1,4.7,4.711461538461538,7.0
1,2.5,0,1,1,era,1,Arizona Diamondbacks,35397,8,4.3999999999999995,90.1,4.7,4.711461538461538,7.0
1,5.5,0,1,5,hits,3,Arizona Diamondbacks,35397,8,4.3999999999999995,90.1,4.7,4.711461538461538,7.0
1,1.5,0,1,22,era,4,Toronto Blue Jays,41022,8,5.733333333333333,76,11.4,3.2419655172413795,8.0
1,5.5,0,1,21,hits,4,Toronto Blue Jays,41022,8,5.733333333333333,76,11.4,3.2419655172413795,8.0
1,2.5,0,0,2,era,4,New York Yankees,5182933,5,6.0,73.3,13.4,5.267594594594595,9.0
1,5.5,0,0,12,hits,3,New York Yankees,5182933,5,6.0,73.3,13.4,5.267594594594595,9.0
1,14.5,1,1,11,outs,2,San Diego Padres,33839,7,4.8,94,6.9,4.4351359223300975,10.5
1,3.5,1,1,11,era,1,San Diego Padres,33839,7,4.8,94,6.9,4.4351359223300975,10.5
1,6.5,1,1,2,hits,1,San Diego Padres,33839,7,4.8,94,6.9,4.4351359223300975,10.5
0,17.5,0,0,21,outs,5,Pittsburgh Pirates,35124,7,6.0,83,10.3,3.7147754569190603,8.5
0,2.5,1,0,21,era,3,Pittsburgh Pirates,35124,7,6.0,83,10.3,3.7147754569190603,8.5
0,5.5,0,0,20,hits,3,Pittsburgh Pirates,35124,7,6.0,83,10.3,3.7147754569190603,8.5
1,1.5,0,0,29,era,4,Miami Marlins,33263,5,4.333333333333333,76,13.9,4.305208157524613,8.5
1,17.5,1,0,29,outs,1,Miami Marlins,33263,5,4.333333333333333,76,13.9,4.305208157524613,8.5
1,5.5,0,0,19,hits,4,Miami Marlins,33263,5,4.333333333333333,76,13.9,4.305208157524613,8.5
0,3.5,1,1,6,era,2,Philadelphia Phillies,39636,7,4.7,79.1,12.8,3.628271565495208,9.0
0,5.5,1,1,6,hits,3,Philadelphia Phillies,39636,7,4.7,79.1,12.8,3.628271565495208,9.0
0,15.5,0,0,10,outs,2,New York Mets,4345164,6,5.033333333333333,76,13.9,5.567014962593516,8.5
0,2.5,1,0,10,era,4,New York Mets,4345164,6,5.033333333333333,76,13.9,5.567014962593516,8.5
0,4.5,1,0,10,hits,4,New York Mets,4345164,6,5.033333333333333,76,13.9,5.567014962593516,8.5
0,16.5,1,0,14,outs,4,Cincinnati Reds,32640,9,6.666666666666667,83.9,11.4,3.8737874015748033,9.5
0,2.5,0,0,14,era,1,Cincinnati Reds,32640,9,6.666666666666667,83.9,11.4,3.8737874015748033,9.5
0,5.5,0,0,28,hits,2,Cincinnati Reds,32640,9,6.666666666666667,83.9,11.4,3.8737874015748033,9.5
1,17.5,1,0,7,outs,2,Minnesota Twins,31174,5,4.666666666666667,101.9,6.9,3.905283464566929,8.5
1,2.5,1,0,7,era,4,Minnesota Twins,31174,5,4.666666666666667,101.9,6.9,3.905283464566929,8.5
1,4.5,1,0,11,hits,4,Minnesota Twins,31174,5,4.666666666666667,101.9,6.9,3.905283464566929,8.5
1,17.5,0,1,8,outs,3,Kansas City Royals,42433,8,5.433333333333334,83.9,11.4,4.0169201451905625,9.5
1,2.5,1,1,8,era,3,Kansas City Royals,42433,8,5.433333333333334,83.9,11.4,4.0169201451905625,9.5
1,5.5,1,1,8,hits,2,Kansas City Royals,42433,8,5.433333333333334,83.9,11.4,4.0169201451905625,9.5
1,14.5,1,0,16,outs,3,San Francisco Giants,5132624,5,5.066666666666666,72.9,11.4,3.6174444444444447,8.0
1,2.5,0,0,16,era,1,San Francisco Giants,5132624,5,5.066666666666666,72.9,11.4,3.6174444444444447,8.0
1,4.5,0,0,15,hits,2,San Francisco Giants,5132624,5,5.066666666666666,72.9,11.4,3.6174444444444447,8.0
0,17.5,0,0,9,outs,2,Milwaukee Brewers,4345278,5,5.3999999999999995,76.9,9.2,3.407670704012112,7.5
0,2.5,0,0,9,era,1,Milwaukee Brewers,4345278,5,5.3999999999999995,76.9,9.2,3.407670704012112,7.5
0,4.5,0,0,8,hits,3,Milwaukee Brewers,4345278,5,5.3999999999999995,76.9,9.2,3.407670704012112,7.5
0,1.5,1,0,28,era,2,Tampa Bay Rays,39910,5,5.7,90.1,4.7,3.3548181818181817,7.0
0,17.5,0,0,28,outs,3,Tampa Bay Rays,39910,5,5.7,90.1,4.7,3.3548181818181817,7.0
