homeaway,line,hit,rightleft,opprank,last5,oppteam,pitcherID,k9,righthitters,inningspitchedlast3,kpercent,temperature,wind,fip,overunder,walkperKTeam,Kperwalk
1,6.5,0,0,19,1,Milwaukee Brewers,39878,9.7,6,6.066666666666666,0.28,72.1,13.9,3.293103448275862,8.5,0.42045454545454547,3.8823529411764706
1,5.5,0,0,3,1,Texas Rangers,41261,7.01,4,5.366666666666667,0.22,81.1,13.9,3.682900432900433,8.5,0.4051222351571595,1.4210526315789473
0,4.5,1,0,18,2,Chicago White Sox,4084179,10.0,4,5.6,0.27,71,9.2,4.010233918128655,9.0,0.2852852852852853,2.111111111111111
1,5.5,1,0,29,1,Minnesota Twins,33837,9.94,7,6.0,0.27,72.8,16.1,4.189226519337017,8.5,0.3887005649717514,7.0
1,4.5,0,1,5,1,San Diego Padres,31980,5.62,8,5.5,0.19,56.9,11.4,6.25,8.5,0.4155672823218997,1.4081632653061225
0,5.5,1,0,28,1,Seattle Mariners,5002950,10.0,5,5.5,0.32,62,5.8,3.743827160493827,7.5,0.3301476976542137,1.9777777777777779
1,5.5,0,1,17,1,Atlanta Braves,39667,9.45,8,4.766666666666667,0.28,78,16.1,5.9,8.5,0.31287128712871287,2.6363636363636362
1,6.5,1,0,25,0,Colorado Rockies,32811,7.5,6,6.066666666666666,0.24,45,12.8,3.6865079365079367,8.5,0.28610354223433243,2.4523809523809526
1,4.5,1,0,8,1,Kansas City Royals,4905900,11.25,7,6.0,0.38,63.1,17.2,2.0,8.5,0.38786279683377306,2.2222222222222223
0,2.5,1,1,7,0,Toronto Blue Jays,33839,5.33,8,3.4,0.12,45,12.8,6.407894736842105,8.5,0.42942583732057416,3.2
1,6.5,1,0,12,1,Chicago Cubs,35124,11.46,5,5.066666666666666,0.28,62,5.8,3.108490566037736,7.5,0.37676767676767675,3.4210526315789473
1,4.5,0,0,24,0,Cincinnati Reds,34984,4.71,4,4.733333333333333,0.13,71,9.2,6.967277486910994,9.0,0.3336653386454183,1.6904761904761905
0,3.5,0,0,2,2,Arizona Diamondbacks,32116,6.37,3,5.433333333333333,0.18,79.1,8.1,4.05188679245283,8.5,0.43187066974595845,3.909090909090909
0,6.5,0,0,20,1,Philadelphia Phillies,33722,7.88,5,5.433333333333334,0.22,69,16.1,3.5833333333333335,8.5,0.4036208732694356,3.2777777777777777
0,5.5,0,0,1,2,Houston Astros,31174,8.18,7,6.066666666666666,0.25,81.1,13.9,3.9111570247933884,8.5,0.3721518987341772,4.185185185185185
0,5.5,1,1,10,1,Cleveland Guardians,36480,7.77,7,6.0,0.22,72.9,18.3,4.113636363636363,8.5,0.4012422360248447,4.357142857142857
0,4.5,1,0,30,1,Oakland Athletics,33305,8.29,5,5.05,0.25,58.9,5.8,2.5921052631578947,8.5,0.3289349670122526,2.9375
0,5.5,0,1,27,0,Boston Red Sox,32151,5.97,5,7.0,0.18,56,13.9,4.354972375690608,10.0,0.32358490566037734,2.0
0,5.5,0,0,23,2,Los Angeles Dodgers,32055,8.53,6,5.0,0.25,56.9,11.4,3.896551724137931,8.5,0.4561586638830898,3.533333333333333
1,6.5,1,0,15,1,St. Louis Cardinals,39910,10.64,5,5.333333333333333,0.32,79.1,8.1,1.9772727272727273,8.5,0.3459051724137931,2.967741935483871
1,7.5,1,0,26,1,Pittsburgh Pirates,31267,11.25,6,6.333333333333333,0.32,69,16.1,2.5833333333333335,8.5,0.3366045142296369,3.6097560975609757
1,6.5,1,0,25,0,Colorado Rockies,33709,7.4,6,5.1,0.22,76.9,6.9,5.560662337662338,8.5,0.28610354223433243,3.823529411764706
1,4.5,1,0,26,0,Pittsburgh Pirates,32157,5.36,6,5.0,0.16,69,8.1,4.41505298013245,8.5,0.3366045142296369,1.40625
0,4.5,0,0,2,2,Arizona Diamondbacks,41516,8.39,7,3.133333333333333,0.26,74.9,8.1,3.285111801242236,8.5,0.43187066974595845,3.3684210526315788
0,4.5,0,0,19,1,Philadelphia Phillies,39875,4.71,7,5.0,0.13,76.9,6.9,5.651571428571428,8.5,0.4036208732694356,1.9166666666666667
1,5.5,0,0,6,2,New York Yankees,33148,8.96,3,5.1000000000000005,0.26,49,10.3,4.625714932126696,8.5,0.5088300220750552,2.3958333333333335
1,4.5,0,1,29,0,Minnesota Twins,39869,6.97,9,5.0,0.18,80,8.1,4.561028169014085,9.0,0.3887005649717514,3.142857142857143
0,3.5,1,0,1,0,Houston Astros,4917634,8.57,8,0.0,0.25,76.9,13.9,3.461095238095238,10.0,0.3721518987341772,2.25
1,5.5,1,0,10,0,San Francisco Giants,40944,15.0,5,0.0,0.48,76,13.9,0.3896666666666664,8.5,0.3830227743271222,2.2857142857142856
0,5.5,0,0,28,0,Seattle Mariners,33249,6.92,3,5.3999999999999995,0.19,51,8.1,5.310912087912088,7.0,0.3301476976542137,2.024390243902439
1,6.5,0,0,24,1,Cincinnati Reds,42406,8.51,4,4.466666666666667,0.23,51,8.1,3.0737462686567163,7.0,0.3336653386454183,8.733333333333333
1,4.5,0,0,5,1,San Diego Padres,32684,8.87,6,4.65,0.23,54.9,8.1,2.9413098591549294,8.5,0.4155672823218997,2.1666666666666665
0,4.5,1,0,12,1,Baltimore Orioles,4917888,10.29,3,4.5,0.25,80,8.1,6.865857142857143,9.0,0.36069114470842334,2.5
0,5.5,1,0,7,2,Toronto Blue Jays,40626,12.86,6,4.15,0.44,49,10.3,3.580142857142857,8.5,0.42942583732057416,2.490566037735849
0,3.5,0,1,4,2,New York Mets,31098,5.95,6,6.099999999999999,0.17,69,8.1,3.4296115702479337,8.5,0.3926247288503254,2.1875
1,6.5,0,0,14,1,Chicago Cubs,32968,7.81,6,6.3999999999999995,0.25,74.9,8.1,3.8428347107438015,8.5,0.37676767676767675,3.5
0,3.5,1,0,22,0,Detroit Tigers,33252,7.2,6,0.0,0.27,68.3,8.1,4.622999999999999,8.5,0.3347107438016529,1.6
1,4.5,1,0,8,0,Kansas City Royals,4422905,9.0,6,0.0,0.28,58.9,11.4,5.023,8.0,0.38786279683377306,0.76
1,4.5,1,0,3,0,Texas Rangers,4734319,7.83,3,4.65,0.22,68.3,8.1,2.9745527950310557,8.5,0.4051222351571595,2.967741935483871
1,3.5,1,0,16,2,St. Louis Cardinals,32789,6.98,5,6.0,0.19,62,8.1,3.1367931034482757,7.5,0.3459051724137931,2.533333333333333
0,5.5,0,0,18,0,Chicago White Sox,34873,4.64,4,6.066666666666666,0.14,58.9,11.4,3.0245873015873013,8.0,0.2852852852852853,3.8484848484848486
0,5.5,1,0,30,0,Oakland Athletics,32082,9.0,4,5.0,0.29,62,8.1,1.2229999999999999,7.5,0.3289349670122526,5.25
1,9.5,0,0,13,1,Washington Nationals,33190,10.55,3,6.333333333333333,0.32,63.9,8.1,3.602310344827586,8.5,0.3835294117647059,4.5588235294117645
0,4.5,0,1,18,1,Philadelphia Phillies,34897,8.1,5,4.733333333333333,0.23,71,6.9,5.247,8.5,0.4036208732694356,3.0
0,4.5,1,1,7,1,Toronto Blue Jays,33696,8.44,8,5.066666666666666,0.23,47.9,5.8,4.444916666666667,8.5,0.42942583732057416,3.6052631578947367
0,4.5,0,0,10,1,Baltimore Orioles,35999,5.79,3,4.1,0.14,72.1,6.9,6.961285714285714,8.5,0.36069114470842334,3.761904761904762
0,7.5,0,0,20,0,Milwaukee Brewers,34943,10.95,7,5.3999999999999995,0.35,54.9,20.8,2.8866396396396397,8.0,0.42045454545454547,4.046511627906977
1,4.5,0,0,9,1,Cleveland Guardians,39674,8.45,3,4.7,0.26,60,4.7,3.412745856353591,8.5,0.4012422360248447,2.4285714285714284
1,6.5,0,0,29,2,Minnesota Twins,41196,10.12,5,5.766666666666667,0.3,72.1,6.9,3.622,8.5,0.3887005649717514,3.611111111111111
1,5.5,0,0,16,0,Atlanta Braves,4717803,7.5,5,2.4,0.17,79.1,13.9,6.80760606060606,9.5,0.31287128712871287,2.8636363636363638
0,8.5,0,0,30,1,Seattle Mariners,39635,13.37,4,5.3999999999999995,0.4,53,5.8,3.643039603960396,7.0,0.3301476976542137,2.98
1,4.5,0,1,14,1,St. Louis Cardinals,39818,4.01,6,4.833333333333333,0.12,67.9,6.9,5.27670297029703,8.0,0.3459051724137931,2.787878787878788
0,6.5,1,0,3,3,New York Mets,4918156,12.52,4,5.766666666666667,0.38,65,8.1,3.116565217391304,7.5,0.3926247288503254,3.6296296296296298
1,5.5,0,1,27,0,Pittsburgh Pirates,32106,7.13,11,4.833333333333333,0.2,65,8.1,4.583633663366337,7.5,0.3366045142296369,2.1363636363636362
0,3.5,0,0,1,1,Arizona Diamondbacks,33173,5.82,6,4.066666666666666,0.14,83.9,8.1,8.717588235294118,10.5,0.43187066974595845,2.3076923076923075
0,6.5,0,0,27,1,Oakland Athletics,30820,8.47,3,4.3999999999999995,0.23,67.9,6.9,4.979673267326732,8.0,0.3289349670122526,2.3658536585365852
1,7.5,0,0,24,2,Cincinnati Reds,41221,9.67,7,6.466666666666666,0.3,53,5.8,3.469222222222222,7.0,0.3336653386454183,5.5
0,3.5,1,1,23,1,Los Angeles Dodgers,31313,6.11,8,5.1,0.16,67,10.3,4.740212669683258,9.5,0.4561586638830898,2.282051282051282
1,6.5,1,1,25,2,Colorado Rockies,39817,9.35,6,5.666666666666667,0.3,71,6.9,2.747,8.5,0.28610354223433243,4.296296296296297
0,4.5,1,0,2,2,Houston Astros,33860,9.0,7,6.0,0.29,79.1,13.9,2.247,9.5,0.3721518987341772,2.7567567567567566
1,4.5,1,1,14,2,San Francisco Giants,41178,9.9,9,4.666666666666667,0.29,78,15,4.147,8.5,0.3830227743271222,3.35
0,5.5,0,0,26,1,Boston Red Sox,4345278,8.9,4,4.3999999999999995,0.24,60,4.7,5.225021978021978,8.5,0.32358490566037734,4.258064516129032
1,4.5,0,1,13,2,Chicago Cubs,4423337,8.95,7,4.666666666666667,0.23,83.9,8.1,4.904458563535911,10.5,0.37676767676767675,1.6666666666666667
1,3.5,0,1,5,0,San Diego Padres,31094,2.57,8,4.0,0.09,54.9,20.8,6.675571428571429,8.0,0.4155672823218997,0.5
1,5.5,1,1,6,2,New York Yankees,41415,12.31,6,5.066666666666666,0.36,47.9,5.8,2.256433962264151,8.5,0.5088300220750552,4.2727272727272725
1,4.5,0,0,29,0,Minnesota Twins,31109,6.92,6,0.0,0.2,69,5.8,2.2384615384615385,8.5,0.3887005649717514,2.033333333333333
0,5.5,1,1,30,0,Seattle Mariners,4414528,6.62,9,5.7,0.2,56,8.1,4.4554112554112555,7.5,0.3301476976542137,2.108695652173913
0,3.5,1,1,5,0,New York Mets,4705677,4.5,7,5.0,0.14,58.9,11.4,4.9,8.0,0.3926247288503254,2.2857142857142856
0,3.5,1,0,28,0,Boston Red Sox,33194,12.6,4,0.0,0.39,51,9.2,3.6,8.5,0.32358490566037734,3.0
0,5.5,0,0,15,1,Chicago White Sox,41172,8.96,6,6.033333333333334,0.29,62,21.9,4.065800865800866,9.0,0.2852852852852853,3.1944444444444446
1,5.5,1,0,13,2,Chicago Cubs,4721302,8.92,5,5.3999999999999995,0.24,85,4.7,4.105172413793103,9.0,0.37676767676767675,4.214285714285714
1,6.5,1,0,25,1,Cincinnati Reds,4654313,8.96,5,6.033333333333334,0.28,56,8.1,3.6979253112033197,7.5,0.3336653386454183,3.7666666666666666
1,2.5,0,0,3,1,San Diego Padres,40922,8.93,6,2.066666666666667,0.27,62,17.2,4.935537190082645,8.0,0.4155672823218997,2.433333333333333
1,5.5,1,1,26,2,Colorado Rockies,42359,10.66,8,5.033333333333333,0.3,62,10.3,1.9677725118483416,8.0,0.28610354223433243,3.161290322580645
0,4.5,1,0,23,2,Detroit Tigers,36080,8.61,7,5.766666666666666,0.28,68.1,16.1,6.2,7.5,0.3347107438016529,2.272727272727273
1,4.5,0,0,18,1,Atlanta Braves,3662290,7.16,6,4.8,0.18,83,10.3,4.891542288557214,9.0,0.31287128712871287,1.8333333333333333
0,4.5,1,0,22,2,Los Angeles Dodgers,41290,7.83,7,5.666666666666667,0.25,74,2.2,3.373913043478261,9.5,0.4561586638830898,3.59375
1,3.5,0,0,7,0,Kansas City Royals,4620398,5.4,5,0.0,0.17,62,21.9,2.6,9.0,0.38786279683377306,2.5555555555555554
0,4.5,1,1,1,3,Arizona Diamondbacks,4420749,12.71,8,4.066666666666666,0.32,85,4.7,3.0823529411764707,9.0,0.43187066974595845,3.2
1,5.5,1,0,8,1,New York Yankees,32667,10.21,5,2.8000000000000003,0.26,43.1,27.5,4.973049645390072,8.5,0.5088300220750552,3.3055555555555554
1,5.5,0,0,27,2,Pittsburgh Pirates,33263,9.0,7,5.0,0.26,58.9,11.4,3.723809523809524,8.0,0.3366045142296369,2.1818181818181817
0,4.5,0,0,6,2,Toronto Blue Jays,32815,7.74,8,5.666666666666667,0.23,43.1,27.5,4.01447963800905,8.5,0.42942583732057416,1.7551020408163265
0,4.5,0,1,2,1,Houston Astros,32685,6.71,9,3.4666666666666663,0.17,83,10.3,5.187577639751552,9.0,0.3721518987341772,2.58974358974359
0,5.5,1,0,20,1,Milwaukee Brewers,40429,9.67,6,5.333333333333333,0.29,62,17.2,5.607407407407408,8.0,0.42045454545454547,3.2
1,4.5,1,0,16,0,St. Louis Cardinals,32776,6.48,6,6.366666666666667,0.2,72.1,4.7,2.72,8.0,0.3459051724137931,2.75
0,4.5,1,0,19,1,Philadelphia Phillies,4019484,11.09,5,5.333333333333333,0.3,62,10.3,4.479620853080569,8.0,0.4036208732694356,2.717948717948718
0,5.5,0,1,24,0,Oakland Athletics,33106,5.4,8,4.766666666666667,0.15,72.1,4.7,3.7,8.0,0.3289349670122526,1.5454545454545454
1,4.5,1,0,10,2,Cleveland Guardians,41009,9.62,2,5.733333333333333,0.28,51,9.2,2.016793893129771,8.5,0.4012422360248447,3.5142857142857142
1,6.5,0,1,4,1,Texas Rangers,42409,10.09,7,5.7,0.31,68.1,16.1,2.8551724137931034,7.5,0.4051222351571595,6.230769230769231
0,4.5,1,0,28,1,Boston Red Sox,28968,7.96,3,4.066666666666666,0.24,47,13.9,3.588740331491713,8.5,0.32358490566037734,2.7096774193548385
0,4.5,0,0,22,0,Detroit Tigers,4622181,8.44,7,0.0,0.16,60.7,8.9,4.1395,9.0,0.3347107438016529,1.1666666666666667
1,4.5,0,0,4,1,Texas Rangers,34892,6.28,4,4.766666666666667,0.17,60.7,8.9,8.492697674418604,9.0,0.4051222351571595,2.6666666666666665
1,4.5,1,0,2,2,Arizona Diamondbacks,41216,6.56,4,5.733333333333333,0.19,61.1,9.2,2.8708741721854305,7.5,0.43187066974595845,3.361111111111111
0,4.5,0,1,14,1,Chicago Cubs,36201,8.18,9,3.4,0.21,53,16.1,6.461575757575758,9.5,0.37676767676767675,2.125
