homeaway,line,hit,position,opp,cat,last10,last5,log,oppposrank,oppteam,gamescore,minutes,shots,spread
0,0.5,0,Forward,22,3-pt,0.6,0.8,0.56,15,Memphis,198,7.2,-0.4,18
0,4.5,0,Forward,28,rebounds,0.4,0.4,0.31,18,Memphis,198,7.2,-0.4,18
0,7.5,1,Forward,11,points,0.6,0.6,0.0,12,Memphis,198,7.2,-0.4,18
0,0.5,1,Point Guard,25,3-pt,0.6,0.6,0.45,27,New Orleans,220,4.3,-0.6,2
0,11.5,1,Point Guard,8,points,0.4,0.4,0.01,13,New Orleans,220,4.3,-0.6,2
0,23.5,0,Point Guard,8,pra,0.3,0.2,0.28,5,New Orleans,220,4.3,-0.6,2
0,4.5,0,Point Guard,9,rebounds,0.4,0.4,0.31,1,New Orleans,220,4.3,-0.6,2
0,6.5,0,Point Guard,16,assists,0.5,0.4,0.39,16,New Orleans,220,4.3,-0.6,2
1,1.5,0,Point Guard,4,3-pt,0.2,0.0,0.26,14,Orlando,239,6.8,1.5,9
1,10.5,0,Point Guard,4,points,0.6,0.4,0.0,25,Orlando,239,6.8,1.5,9
1,20.5,0,Point Guard,2,pra,0.5,0.2,0.34,17,Orlando,239,6.8,1.5,9
1,4.5,1,Point Guard,1,assists,0.7,0.4,0.31,4,Orlando,239,6.8,1.5,9
1,4.5,0,Point Guard,1,rebounds,0.2,0.0,0.29,6,Orlando,239,6.8,1.5,9
1,18.5,1,Center,25,pra,0.2,0.2,0.16,21,Detroit,198,2.1,0.2,18
1,7.5,1,Center,15,rebounds,0.0,0.0,0.0,21,Detroit,198,2.1,0.2,18
1,9.5,1,Center,26,points,0.3,0.2,0.0,19,Detroit,198,2.1,0.2,18
0,1.5,0,Power Forward,14,3-pt,0.2,0.4,0.38,7,Boston,201,0.4,0.8,1
0,4.5,0,Power Forward,11,rebounds,0.4,0.0,0.46,9,Boston,201,0.4,0.8,1
0,8.5,0,Power Forward,5,points,0.5,0.6,0.02,1,Boston,201,0.4,0.8,1
0,1.5,0,Small Forward,22,3-pt,0.1,0.0,0.19,29,Memphis,198,10.3,1.2,18
0,3.5,1,Small Forward,28,rebounds,0.4,0.6,0.25,30,Memphis,198,10.3,1.2,18
0,6.5,0,Small Forward,11,points,0.1,0.0,0.0,17,Memphis,198,10.3,1.2,18
1,10.5,1,Point Guard,18,assists,0.3,0.2,0.58,10,Okla City,238,-0.5,0.4,14
